code,exchange,name,short_name,manager,scale,listing_date,index_name,market_category,subcategory,included_in_site,site_type,add_priority,eastmoney_name
160125,SZSE,南方香港优选股票,南方香港LOF,南方基金管理股份有限公司,"1,637.65",,,QDII-港股,港股宽基/主题,yes,港股,already_in_site,南方香港优选股票
160322,SZSE,华夏港股通精选股票发起式(LOF)A,港股精选LOF,华夏基金管理有限公司,"1,518.38",,,QDII-港股,港股宽基/主题,yes,港股,already_in_site,华夏港股通精选股票发起式(LOF)A
161831,SZSE,银华恒生中国企业指数,恒生国企LOF,银华基金管理股份有限公司,"11,762.78",,HSCEI,QDII-港股,港股宽基/主题,yes,港股,already_in_site,银华恒生中国企业指数
164705,SZSE,汇添富恒生指数(QDII-LOF)A,恒生LOF,汇添富基金管理股份有限公司,"4,291.71",,HSI,QDII-港股,港股宽基/主题,yes,港股,already_in_site,汇添富恒生指数(QDII-LOF)A
501021,SSE,华宝香港中小(QDII-LOF)A,香港中小,华宝基金管理有限公司,0.5207,2016/7/6,-,QDII-港股,港股宽基/主题,yes,港股,already_in_site,华宝香港中小(QDII-LOF)A
501025,SSE,鹏华香港银行指数(LOF)A,香港银行,鹏华基金管理有限公司,4.1957,2016/11/24,-,QDII-港股,港股行业,yes,港股,already_in_site,鹏华香港银行指数(LOF)A
501303,SSE,广发恒生中型股指数(LOF)A,恒生中型,广发基金管理有限公司,0.225,2017/10/25,-,QDII-港股,港股宽基/主题,yes,港股,already_in_site,广发恒生中型股指数(LOF)A
501305,SSE,汇添富港股红利ETF联接A,港股高息,汇添富基金管理股份有限公司,0.1629,2018/1/18,-,QDII-港股,港股红利,yes,港股,already_in_site,汇添富港股红利ETF联接A
501306,SSE,汇添富港股红利ETF联接C,港股高C,汇添富基金管理股份有限公司,0.1328,2018/1/18,-,QDII-港股,港股红利,yes,港股,already_in_site,汇添富港股红利ETF联接C
501311,SSE,嘉实港股通新经济指数A,新经济HK,嘉实基金管理有限公司,0.4385,2019/2/14,-,QDII-港股,港股宽基/主题,yes,港股,already_in_site,嘉实港股通新经济指数A
161126,SZSE,易方达标普医疗保健人民币A,标普医疗保健LOF,易方达基金管理有限公司,"4,926.44",,SP50035,QDII-美股,美股宽基/主题,yes,美股,already_in_site,易方达标普医疗保健人民币A
161129,SZSE,易方达原油A类人民币,原油LOF易方达,易方达基金管理有限公司,"43,929.69",,,商品-原油,原油/油气,yes,原油主题,already_in_site,易方达原油A类人民币
160106,SZSE,南方高增长混合(LOF),南方高增LOF,南方基金管理股份有限公司,"3,428.20",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,南方高增长混合(LOF)
160127,SZSE,南方新兴消费增长股票(LOF)A,南方消费LOF,南方基金管理股份有限公司,"3,426.04",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,南方新兴消费增长股票(LOF)A
160133,SZSE,南方天元新产业股票(LOF),南方天元LOF,南方基金管理股份有限公司,"11,615.81",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,南方天元新产业股票(LOF)
160142,SZSE,南方优势产业(LOF),南方优势产业LOF,南方基金管理股份有限公司,"3,535.25",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,南方优势产业(LOF)
160212,SZSE,国泰估值优势混合(LOF)A,国泰估值LOF,国泰基金管理有限公司,824.39,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,国泰估值优势混合(LOF)A
160215,SZSE,国泰价值经典混合(LOF),国泰价值LOF,国泰基金管理有限公司,191.45,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,国泰价值经典混合(LOF)
160220,SZSE,国泰民益混合(LOF)A,国泰民益LOF,国泰基金管理有限公司,425.99,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,国泰民益混合(LOF)A
160311,SZSE,华夏蓝筹混合(LOF)A,华夏蓝筹LOF,华夏基金管理有限公司,"6,279.43",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,华夏蓝筹混合(LOF)A
160314,SZSE,华夏行业混合(LOF),华夏行业LOF,华夏基金管理有限公司,"6,296.25",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,华夏行业混合(LOF)
160323,SZSE,华夏磐泰混合(LOF)A,华夏磐泰LOF,华夏基金管理有限公司,"6,294.44",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,华夏磐泰混合(LOF)A
160324,SZSE,华夏磐晟混合(LOF),华夏磐晟LOF,华夏基金管理有限公司,870.07,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,华夏磐晟混合(LOF)
160421,SZSE,华安智增精选混合,华安智增LOF,华安基金管理有限公司,"1,178.64",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,华安智增精选混合
160505,SZSE,博时主题行业混合(LOF),博时主题LOF,博时基金管理有限公司,"16,451.42",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,博时主题行业混合(LOF)
160512,SZSE,博时卓越品牌混合(LOF)A,博时卓越LOF,博时基金管理有限公司,"1,123.47",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,博时卓越品牌混合(LOF)A
160518,SZSE,博时睿远LOF,博时睿远LOF,博时基金管理有限公司,"1,610.76",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,博时睿远
160526,SZSE,博时优势企业灵活配置混合A,博时优势企业,博时基金管理有限公司,222.36,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,博时优势企业灵活配置混合A
160527,SZSE,博时研究优选混合(LOF)A,博时研究优选LOF,博时基金管理有限公司,492.72,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,博时研究优选混合(LOF)A
160607,SZSE,鹏华价值优势混合(LOF),鹏华价值优势LOF,鹏华基金管理有限公司,"5,716.79",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,鹏华价值优势混合(LOF)
160610,SZSE,鹏华动力增长混合(LOF),鹏华动力LOF,鹏华基金管理有限公司,"2,634.98",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,鹏华动力增长混合(LOF)
160611,SZSE,鹏华优质治理混合(LOF)A,鹏华优质治理LOF,鹏华基金管理有限公司,"5,890.07",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,鹏华优质治理混合(LOF)A
160613,SZSE,鹏华盛世创新混合(LOF)A,鹏华盛世创新LOF,鹏华基金管理有限公司,798.35,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,鹏华盛世创新混合(LOF)A
160641,SZSE,鹏华丰锐LOF,鹏华丰锐LOF,鹏华基金管理有限公司,61.74,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,
160642,SZSE,鹏华增瑞混合(LOF)A,鹏华增瑞LOF,鹏华基金管理有限公司,48.27,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,鹏华增瑞混合(LOF)A
160722,SZSE,嘉实惠泽混合(LOF),嘉实惠泽LOF,嘉实基金管理有限公司,288.6,,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,嘉实惠泽混合(LOF)
160726,SZSE,嘉实瑞享定期混合,嘉实瑞享定开,嘉实基金管理有限公司,"4,485.23",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,嘉实瑞享定期混合
160805,SZSE,长盛同智优势混合(LOF),长盛同智LOF,长盛基金管理有限公司,"3,696.49",,,A股-主动,境内主动权益/混合,yes,A股主动,already_in_site,长盛同智优势混合(LOF)
